Places_name	Places_type	Places_city	Places_reference	Budget	timing
Allana Gadoor Village Beach ( Teen Khaji)	Cultural / Beachfront	Hub	https://maps.app.goo.gl/JyAmNdKTdoQidxdc7	Low	All-day
Churna Beach	Adventure / Water Sports	Hub	https://maps.app.goo.gl/sLq6n6kbYjzT3GQv8	Low	All-day
Burhani Recreational Park	Leisure / Family	Hub	https://maps.app.goo.gl/EXbt1wJ1sjon9coGA	Low	Afternoon
Hub River	River	Hub	https://www.google.com/maps/place/Hub+River/@26.1352922,66.9393198,8z/data=!3m1!4b1!4m6!3m5!1s0x3eb36eacfe4a2fdb:0x831639298796426d!8m2!3d26.2441251!4d67.2070773!16zL20vMDloa2Ju?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D	Low	Evening
Qaboos Hotel	Hotel	Hub	https://www.google.com/maps/place/Qaboos+Hotel/@25.0374258,66.8725133,17z/data=!4m9!3m8!1s0x3eb36ee5f20c862f:0x8c4daf99f47a3335!5m2!4m1!1i2!8m2!3d25.0374258!4d66.8725133!16s%2Fg%2F11bzz_z_vz?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Low	All-day
Midway Family Resorts	Hotel	Hub	https://maps.app.goo.gl/6Ce8by65uYH9CMtg7	Low	All-day
Khoj Resorts Allana	Hotel	Hub	https://maps.app.goo.gl/yvgzamas4vxCxWdw9	High	All-day
Shakir Restaurant	Restaurant	Hub	https://maps.app.goo.gl/9U863geektGUU4HZA	Moderate	MainMeals
Hub City Restaurant	Restaurant	Hub	https://maps.app.goo.gl/ocCahQqr8WYH4dPPA	Moderate	MainMeals
Cafe Balochistan Restaurant	Restaurant	Hub	https://maps.app.goo.gl/WLnEzX3gyFfSLEvEA	Low	FullDay
Sarawan Hotel Restaurant Hub	Restaurant	Hub	https://maps.app.goo.gl/fyowjhtC6pLwGFiJ7	Low	FullDay
Conference Hotel & Restaurant	Restaurant	Hub	https://maps.app.goo.gl/2UJZx6BRXzkwNwBs8	High	Brunch
G.Food Fast food & bar b q restaurant	Restaurant	Hub	https://maps.app.goo.gl/KaQop5WrTXxu6Uxw7	Moderate	MainMeals
Karachi Chicken Biryani & Pakwan Centre	Restaurant	Hub	https://maps.app.goo.gl/cFoZpMJCo6hTHnkn9	Low	MainMeals
Super Awaran Hotel	Restaurant	Hub	https://maps.app.goo.gl/7ZxxsHR2Nbq9GjYb9	Low	FullDay
New Al-Saudia VIP Restaurant, Hub Chowki, Balochistan	Restaurant	Hub	https://maps.app.goo.gl/pUzZurLQjx999a7f9	Moderate	FullDay
Bethak cafe & foods	Restaurant	Hub	https://maps.app.goo.gl/n6nqft9R3mzwv1as7	Moderate	MainMeals
Agha Balochistan pakwaan and Biryani Center	Restaurant	Hub	https://maps.app.goo.gl/N64RJPibXhcPqJsx6	Low	MainMeals
New Quetta Abdul Qayyum Kakar Shahi Hotel	Restaurant	Hub	https://maps.app.goo.gl/Pp7rVkKzp6i5JF8x5	Low	FullDay
Agha pizza & food centre	Restaurant	Hub	https://maps.app.goo.gl/HkHq5p3pib1zrRyo7	Moderate	MainMeals
Quetta Arbaz Hotel	Restaurant	Hub	https://maps.app.goo.gl/rQg8E4TAwD7mmAw38	Low	FullDay
MashAllah Hotel	Restaurant	Hub	https://maps.app.goo.gl/9k4BfqHLs1RU1F5VA	Moderate	FullDay
Zalzala Restaurant	Restaurant	Hub	https://maps.app.goo.gl/W8MAnhjReiRr4bDB8	Moderate	MainMeals
AL Rehman Restaurant Hub	Restaurant	Hub	https://maps.app.goo.gl/NFbQbDRqQWj9J2BM7	Moderate	MainMeals
Akhtar Restaurant	Restaurant	Hub	https://maps.app.goo.gl/m7snkqJsvKPYb7CJ6	Low	MainMeals
Al Maida VIP Restaurent	Restaurant	Hub	https://maps.app.goo.gl/kHU7sXx6owD9zonz5	Low	FullDay
New Quetta Watan Yar Hotel	Restaurant	Hub	https://maps.app.goo.gl/XHtvWLbYrJskG5Qt5	Low	FullDay
New Al-Shaikh Zaiqa Restaurant	Restaurant	Hub	https://maps.app.goo.gl/B1ASSE1VFd89UsLbA	Moderate	FullDay
Cave of Lahoot Lamakan	Historical	Khuzdar	https://maps.app.goo.gl/zgMZsxCkTsh8Re7d8	Low	All-day
Chotok Waterfalls	Cultural	Khuzdar	https://maps.app.goo.gl/mC8RnHthPb19xpb76	Low	All-day
Khanate of Kharan	Fort	Kharan	https://maps.app.goo.gl/wMDuKzYY4LAnd3ti8	Moderate	Morning
Tomb of Moti Gohram	Historical	Turbat	https://maps.app.goo.gl/P4ePSFch2wPDLfqm6	Low	Morning
Hoth Punno Fort	Fort	Turbat	https://maps.app.goo.gl/VyhKHaBPAkeLYPMAA	High	Afternoon
Kech museum Library	Cultural	Turbat	https://maps.app.goo.gl/pWC3foNEgahUSvbV8	Moderate	Afternoon
Damb Beach	Historical	Winder	https://maps.app.goo.gl/Jd2qowa51A5BPrpk9	Low	Morning
Chanesar Waterfall	Scenic Adventure	Winder	https://maps.app.goo.gl/oqMpsrzbJSNUqUYe7	Moderate	All-day
Mithri Gululang Valley	International Gateway	Winder	https://maps.app.goo.gl/Yo2DFcQYY7VTLy4s8	Low	All-day
Saandh Valley	Picnic Spot	Winder	https://maps.app.goo.gl/kATMEEgcrAwYf5ST8	Moderate	All-day
Winder Dam & Surrounds	Adventure	Winder	https://maps.app.goo.gl/F1KXjyxFbmi7XWDL6	Moderate	Afternoon
Wadi e Pirkoh	Recreational Area	Dera Bugti	https://maps.app.goo.gl/SQeWt8vYng1xfUax7	High	Afternoon
Moola Chotok	Adventure Hiking place	Khuzdar	https://maps.app.goo.gl/cVpq1ots6nDGdsqS9	Moderate	All-day
Balochistan Hashmi Hotel	Restaurant	Khuzdar	https://maps.app.goo.gl/tNjy8YcJVHaaz6zS6	Low	FullDay
Cafe Khuzdar	Restaurant	Khuzdar	https://maps.app.goo.gl/jgcpUaRqAMzkUNfD8	Low	FullDay
Chamrock Hotel and Restaurant Khuzdar	Restaurant	Khuzdar	https://maps.app.goo.gl/izcbydcSNon84YCv8	Low	FullDay
Papa Gino's Khuzdar	Restaurant	Khuzdar	https://maps.app.goo.gl/kAqU3xuDy9GRZGgcA	Moderate	MainMeals
Food Station	Restaurant	Khuzdar	https://maps.app.goo.gl/BnPrhaVQ7bjMwquw6	Low	MainMeals
Al-Saadat Hotel	Restaurant	Khuzdar	https://maps.app.goo.gl/d7szNr1MZhPqHa7u5	Low	MainMeals
Lal Qila Restaurant Khuzdar	Restaurant	Khuzdar	https://maps.app.goo.gl/ZnHW9pTBeT5w2CHH9	High	FullDay
New Quetta Shinwari Hotel	Restaurant	Khuzdar	https://maps.app.goo.gl/7YxJFzGfRPTx2XsC6	Low	MainMeals
Al Sarwari Hotel Kalat	Restaurant	Kalat near Kharan	https://maps.app.goo.gl/oLCpfsYrCS5N1n5X7	Low	FullDay
Bismillah Chai Shai Hotel ?& Restaurant	Restaurant	Kalat near Kharan	https://maps.app.goo.gl/2o6SA3WqAGrFgGVd9	Low	Brunch
KECH RESTAURANT	Restaurant	Turbat	https://maps.app.goo.gl/h8AvPMoAhCUZjiqe7	Low	MainMeals
Kech Makran Sajji House	Restaurant	Turbat	https://maps.app.goo.gl/51AtQpsqKoeapK2UA	Moderate	MainMeals
Cafe Parkview	Restaurant	Turbat	https://maps.app.goo.gl/95XQwSShMSoBpLxx9	Low	Brunch
Quetta Bismillah hotel	Restaurant	Winder	https://maps.app.goo.gl/us7KAwyDWGiZBVfu5	Low	Brunch
Al Mustafa sabreen hotel and Sada Bahar BBQ	Restaurant	Winder	https://maps.app.goo.gl/CxjeKTbkVuGSnCZQ8	Low	MainMeals
Karachi Restaurant	Restaurant	Winder	https://maps.app.goo.gl/GP6jtJxP75pfrbZE7	Low	MainMeals
New Quetta Aga Jaan Hotel	Restaurant	Winder	https://maps.app.goo.gl/wRzrfwvDndJqKaiV7	Low	MainMeals
MashaAllah Sui Star Hotel	Restaurant	Dera Bugti  Road	https://maps.app.goo.gl/SMzRDAWNAgxyQE567	Low	MainMeals
Delish Pizza Bar	Restaurant	Quetta near Chaman	https://maps.app.goo.gl/4EqBMfUCLmgJ7qmy8	Moderate	MainMeals
ALBAYT BAR BQ QUETTA	Restaurant	Quetta near Chaman	https://maps.app.goo.gl/gz4c8s6iNUy3WqDc9	Low	MainMeals
Al Sarwari Hotel Kalat	Restaurant	Kalat near Moola	https://maps.app.goo.gl/oLCpfsYrCS5N1n5X7	Moderate	FullDay
Rizwan Hotel	Hotel	Khuzdar	https://www.google.com/maps/search/Rizwan+Hotel+Khuzdar/@27.8125459,66.6042625,16z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Low	All-day
SAARC Hotel	Hotel	Khuzdar	https://www.google.com/maps/search/?api=1&query=SAARC+Hotel+Khuzdar	Low	All-day
Al Mustafa Hotel	Hotel	Khuzdar	https://www.google.com/maps/place/Al+Mustafa+Hotel+and+Resturent/@27.8055627,66.6122684,17z/data=!4m9!3m8!1s0x3ecb9fb19582fe2d:0xf2d048c49dbabc9b!5m2!4m1!1i2!8m2!3d27.8055627!4d66.6122684!16s%2Fg%2F11txgy81sn?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Low	All-day
Al Saudia Hotel	Hotel	Khuzdar	https://www.google.com/maps/place/Al+Saudia+Hotel/@27.8060685,66.6108354,17z/data=!4m9!3m8!1s0x3ecb9e0759b97db9:0xef63e0698bf358e4!5m2!4m1!1i2!8m2!3d27.8060685!4d66.6108354!16s%2Fg%2F11gzg4zff?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Low	All-day
Charo Maachi Hotel Karkh	Hotel	Khuzdar	https://www.google.com/maps/place/Charo+Maachi+Hotel+karkh/@27.4929391,67.0271691,17z/data=!3m1!4b1!4m6!3m5!1s0x3ecb2196c9871071:0xc645b5d134976467!8m2!3d27.4929391!4d67.0271691!16s%2Fg%2F11vkrd41zv?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Low	All-day
Al Mustafa Hotel and Resturent	Hotel	Khuzdar	https://maps.app.goo.gl/MZ5G1YcePbv47v7P6	Low	All-day
KK Sha Inn	Hotel	Khuzdar	https://maps.app.goo.gl/ajjdZTX9tExwuBYh6	Low	All-day
Hotel Sehwan Divine	Hotel	Kalat near Kharan	https://www.google.com/maps/place/Hotel+Sehwan+Divine/@26.4245796,67.852745,17z/data=!4m9!3m8!1s0x394aebf9a02912e3:0x2e62745852f5604a!5m2!4m1!1i2!8m2!3d26.4245796!4d67.852745!16s%2Fg%2F1pv6y7nml?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Moderate	All-day
Quetta Serena Hotel	Hotel	Kalat near Kharan	https://www.google.com/maps/place/Serena+Hotel+Quetta+g/@30.2044639,67.0120986,17z/data=!4m9!3m8!1s0x3ed2de326cee5cb1:0x68423eba0e2cd30d!5m2!4m1!1i2!8m2!3d30.2044639!4d67.0120986!16s%2Fg%2F11b76jmprc?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	High	All-day
Zaver Pearl Continental Hotel Gwadar	Hotel	Gwadar Near Turbat	https://www.google.com/maps/place/Zaver+Pearl+Continental+Hotel/@25.1032914,62.328633,17z/data=!4m9!3m8!1s0x3ebee24b69ccb1b3:0xa89e0a95dd44d1f9!5m2!4m1!1i2!8m2!3d25.1032914!4d62.328633!16s%2Fg%2F1tcxbp45?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	High	All-day
Afridi Inn	Restaurant	Gawadar	https://maps.app.goo.gl/nC3VUGc73BPFTRpM8	Moderate	Dinner
Sadaf Resort	Hotel	Gwadar Near Turbat	https://www.google.com/maps/place/Sadaf+Resort/@25.1260292,62.3196467,17z/data=!4m9!3m8!1s0x3ebee26642db7cf5:0x42aa77b5b45ca9b7!5m2!4m1!1i2!8m2!3d25.1260292!4d62.3196467!16s%2Fg%2F1hf7vnjwj?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	High	All-day
Qaboos Hotel	Hotel	Hub near Winder	https://www.google.com/maps/place/Qaboos+Hotel/@25.0374258,66.8725133,17z/data=!4m9!3m8!1s0x3eb36ee5f20c862f:0x8c4daf99f47a3335!5m2!4m1!1i2!8m2!3d25.0374258!4d66.8725133!16s%2Fg%2F11bzz_z_vz?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Low	All-day
Midway Family Resorts	Hotel	Hub near Winder	https://maps.app.goo.gl/6Ce8by65uYH9CMtg7	Moderate	All-day
Khoj Resorts Allana	Hotel	Hub near Winder	https://maps.app.goo.gl/yvgzamas4vxCxWdw9	High	All-day
Gaddani Beach Guest House	Hotel	Hub near Winder	https://www.google.com/maps/place/Gadani+Govt.+Guest+House/@25.0870004,66.7039744,17z/data=!3m1!4b1!4m6!3m5!1s0x3eb379231fbe2c27:0x40d9cc383d053257!8m2!3d25.0870004!4d66.7039744!16s%2Fg%2F11lkx9psgs?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Low	All-day
Quetta Serena Hotel	Hotel	Dera Bugti	https://maps.app.goo.gl/VDxBZxUqkFDQknFx9	Moderate	All-day
Azad Muslim Hotel	Hotel	Quetta near Chaman	https://www.google.com/maps/place/Muslim+Hotel+%D9%85%D8%B3%D9%84%D9%85+%DB%81%D9%88%D9%B9%D9%84%E2%80%AD/@30.1893826,67.0037102,17z/data=!4m9!3m8!1s0x3ed2df5c814835a7:0xdfdbe1f8c9d55cfd!5m2!4m1!1i2!8m2!3d30.1893826!4d67.0037102!16s%2Fg%2F11yl6j286?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Low	All-day
Grand Hotel Quetta	Hotel	Quetta near Chaman	https://www.google.com/maps/place/Grand+Hotel+Quetta/@30.1892645,67.0134178,17z/data=!4m9!3m8!1s0x3ed2dffde51a81eb:0xa47ec08438e38e5f!5m2!4m1!1i2!8m2!3d30.1892645!4d67.0134178!16s%2Fg%2F11shff2x8x?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Moderate	All-day
Hotel Sehwan Divine	Hotel	Kalat near Moola	https://www.google.com/maps/place/Hotel+Sehwan+Divine/@26.4245796,67.852745,17z/data=!4m9!3m8!1s0x394aebf9a02912e3:0x2e62745852f5604a!5m2!4m1!1i2!8m2!3d26.4245796!4d67.852745!16s%2Fg%2F1pv6y7nml?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D	Moderate	All-day
-------Punjab-------					
Lahore Fort	Historical	Lahore	https://maps.app.goo.gl/tZHQ7vNMdMNaQ4cD6	Low	Morning
Lahore Museum	Archaeological museum	Lahore	https://maps.app.goo.gl/yWRNj8dDxmYRjL6T6	Low	Morning
Minar-e-Pakistan	Historical landmark	Lahore	https://maps.app.goo.gl/Nec4hV4VmE6DUZcW8	Low	Afternoon
Qutb-ud-Din Aibak's Tomb	Historical landmark	Lahore	https://maps.app.goo.gl/kiyCc3arpcHpbt226	Low	All-day
Shalamar Gardens	Historical landmark	Lahore	https://maps.app.goo.gl/sMayXkfs9bCGRT7E9	Low	Afternoon
Dehli Gate	Historical landmark	Lahore	https://maps.app.goo.gl/h8rfsEBdNRE1aDn6A	Low	All-day
Eiffel Tower Bahria Town Lahore	Cultural / Architectural	Lahore	https://maps.app.goo.gl/8VwiwZt69buju8AY8	Low	All-day
Walled City Of Lahore Authority	Historical / Cultural	Lahore	https://maps.app.goo.gl/VSEHRH7xJ5JRP2DC9	Low	Afternoon
Army Museum Lahore	Historical / Military	Lahore	https://maps.app.goo.gl/uxhNgFh8CPe7mN8q6	Low	Morning
Baradari of Kamran Mirza	Historical	Lahore	https://maps.app.goo.gl/rqGrAbbJiyLF79Bq6	Low	Afternoon
Jilani Park (Race Course), Lahore	Recreational / Park	Lahore	https://maps.app.goo.gl/dGaHHDti7xacJGsY7	Low	All-day
Hazuri Bagh	Historical / Garden	Lahore	https://maps.app.goo.gl/NDeP2qDKYhD14huE7	Low	Morning
Greater Iqbal Park	Recreational / Park	Lahore	https://maps.app.goo.gl/EMMTA95dEHimdezL6	Low	All-day
Lahore Global Village	Cultural / Event Venue	Lahore	https://maps.app.goo.gl/8Km3L9oUTvjdDZc66	Moderate	Evening
Bab-e-Pakistan	Monument / Historical	Lahore	https://maps.app.goo.gl/yiErbsYoWpoCR6yk9	Low	All-day
Shahi Hammam / Wazir Khan Hammam	Historical / Cultural	Lahore	https://maps.app.goo.gl/cdLFE9ACToUPKFiEA	Low	Afternoon
Jallo Park, Lahore	Recreational / Park	Lahore	https://maps.app.goo.gl/2M63rcst9G34fMqD8	Low	Morning
Walled City	Historical / Urban Area	Lahore	https://maps.app.goo.gl/vyFpgFasq6sVcjQN7	Low	Afternoon
Joyland	Amusement Park	Lahore	https://maps.app.goo.gl/ib1WWTFVkZEWb6B36	Low	Night
Butterfly House, Jallo Park, Lahore	Nature / Educational	Lahore	https://maps.app.goo.gl/3hh4UXveqf6js2Mj7	Low	Afternoon
Jam-e-Shirin Park Lahore	Recreational / Park	Lahore	https://maps.app.goo.gl/82U622e7NT2vt2oD9	Low	Morning
Yakki Gate	Historical / Gateway	Lahore	https://maps.app.goo.gl/7z16Xv3kN7tmwbJR6	Low	All-day
Faqeer Khana Museum	Museum / Cultural	Lahore	https://maps.app.goo.gl/YVThVHeuncyEzZxG6	Low	Afternoon
National History Museum	Museum / Historical	Lahore	https://maps.app.goo.gl/BBZgBn8TXE5QUp8D7	Low	Morning
Water Fall - Jilani Park	Natural / Fountain	Lahore	https://maps.app.goo.gl/m3MvH2FdTRGuyxSK6	Low	Evening
Shahrah-e-Quaid-e-Azam, Mall Road, Lahore, Punjab	Historical / Landmark	Lahore	https://maps.app.goo.gl/wngSc6cKbkved1Ln7	Low	Afternoon
Gali Surjan Singh	Historical / Street	Lahore	https://maps.app.goo.gl/ABVgPpypJvP55JxH8	Low	Night
Badshahi Mosque	Religious / Historical	Lahore	https://maps.app.goo.gl/p7J7bNFmxW363pnr6	Low	Afternoon
Iqbal Museum	Museum / Historical	Lahore	https://maps.app.goo.gl/BYBWLiwbqDmAWL1bA	Low	Morning
Shahi Bawarchi Khana of Lahore Fort	Historical / Palace Kitchen	Lahore	https://maps.app.goo.gl/Kp7NoRpuSEYhg91H6	Low	Morning
Lahore Fort Main Gate	Historical / Fort	Lahore	https://maps.app.goo.gl/KYcCWVUo6qVXzrDk6	Low	Afternoon
Tomb of Emperor Jahangir	Historical / Tomb	Lahore	https://maps.app.goo.gl/37ChENXfDfbVXShb7	Low	Afternoon
Sindbad's Wonderland Pvt Ltd	Amusement Park	Lahore	https://maps.app.goo.gl/32WCCgNjZEYw9cqX9	Low	Evening
Tomb of Dai Anga	Historical / Tomb	Lahore	https://maps.app.goo.gl/rs2MshKE2oSQUagQA	Low	All-day
Kareem Market roundabout (Gol Chakar)	Landmark / Roundabout	Lahore	https://maps.app.goo.gl/PcXYq9KH5f852fBN6	Low	All-day
Tomb of Nadira Begum	Historical / Tomb	Lahore	https://maps.app.goo.gl/wJ2DnGuCUZLL84MG6	Low	All-day
Chitti Haveli	Historical / Architecture	Lahore	https://maps.app.goo.gl/gheZ7WksmUnnfN6VA	Low	Afternoon
Quaid-e-Azam Monument	Monument / Landmark	Lahore	https://maps.app.goo.gl/GbCm5CBnfmorrqy6A	Low	Afternoon
Haveli Alif Shah	Historical / Architecture	Lahore	https://maps.app.goo.gl/LTGWRRP2SfqKN5e98	Low	Morning
Sheesh Mahal Lahore	Historical / Palace	Lahore	https://maps.app.goo.gl/iph3Z5K9tqsSjTzg9	Low	Afternoon
Shahi Guzargah (Royal Trail)	Historical / Heritage Trail	Lahore	https://maps.app.goo.gl/soHVYA3capfsjNmr7	Low	Night
Al Hamra Monument	Monument / Cultural	Lahore	https://maps.app.goo.gl/i3S6thaJTAKRYKoV9	Low	Evening
Deer Land Hiran Minar	Wildlife / Nature	Lahore	https://maps.app.goo.gl/TyThsVzbiXEPx7pMA	Low	Afternoon
Sozo Water Park	Amusement / Water Park	Lahore	https://maps.app.goo.gl/vmPRrAhcmVrwHbwp8	Moderate	Afternoon
Pheeli Haveli	Historical / Architecture	Lahore	https://maps.app.goo.gl/QxzhtMVyKE4tVE4d6	Low	Morning
Sitala Temple	Religious / Historical	Lahore	https://maps.app.goo.gl/bHgrPrYPariaKMvk6	Low	Morning
Tomb of Allama Muhammad Iqbal	Historical / Tomb	Lahore	https://maps.app.goo.gl/d7pBoWxAykVz22L38	Low	Afternoon
Shri Krishna Mandir	Religious / Hindu Temple	Lahore	https://maps.app.goo.gl/eQgc7YA18uxYfNqp9	Low	Evening
Katas Raj Temple Complex	Religious / Hindu Temple Complex	Lahore	https://maps.app.goo.gl/mbMdF2et8QNHdYoh9	Low	Afternoon
Bhadrakali Temple	Religious / Hindu Temple	Lahore	https://maps.app.goo.gl/Ve2vVx1u5Vwhuxgt6	Low	All-day
Balmik Mandir	Religious / Hindu Temple	Lahore	https://maps.app.goo.gl/3zgALJGft3q2xNp36	Low	All-day
Lal Mandir	Religious / Hindu Temple	Lahore	https://maps.app.goo.gl/4z3y3Zs7bB5n5gpv5	Low	Morning
Pandit Bansi Laal Mandir	Religious / Hindu Temple	Lahore	https://maps.app.goo.gl/bFmggiHfmbABRrLt7	Low	Morning
Gurdwara Dehra Sahib Sri Guru Arjan Dev	Religious / Sikh Gurdwara	Lahore	https://maps.app.goo.gl/1Xwc5k8gFPmsWnLU6	Low	Afternoon
Samadhi of Maharaja Ranjit Singh Ji	Historical / Religious Monument	Lahore	https://maps.app.goo.gl/HV9fhH2GkXUfPJv69	Low	Afternoon
Androon Lahore	Historical / Walled City Area	Lahore	https://maps.app.goo.gl/uFfD3xuBmw8bbd2U7	Low	Night
Prachin Sati Mata Temple, Manhala	Religious / Hindu Temple	Lahore	https://maps.app.goo.gl/B4yw2HxLTS8Dk1mt7	Low	All-day
Arya Samaj Mandir (1934)	Religious / Hindu Temple	Lahore	https://maps.app.goo.gl/zr1mmv4gj9hbumju6	Low	Evening
Lala Nihal Chand Temple (Abandoned)	Religious / Abandoned Temple	Lahore	https://maps.app.goo.gl/iUBxucw4RfBSRJjG6	Low	Evening
Jain Mandir	Religious / Jain Temple	Lahore	https://maps.app.goo.gl/3N4GcKmJPF1urhu78	Low	Afternoon
Attari - Wagah Border	Historical/Cultural	Lahore	https://maps.app.goo.gl/8dWgvkm8YF34zEw87	Low	Morning
Monal Lahore	Restaurant	Lahore	https://maps.app.goo.gl/qk1JtbKb5eeNkQRL9	High	FullDay
Arcadian Cafe Packages Mall	Restaurant	Lahore	https://maps.app.goo.gl/QhxdNDhfg2eyEXwp8	High	MainMeals
Cafe Aylanto	Restaurant	Lahore	https://maps.app.goo.gl/h1A2QjrYUUj9oQZa6	High	FullDay
Phajja Siri Paye	Restaurant	Lahore	https://maps.app.goo.gl/KtataQ347WYStnEy6	Moderate	FullDay
Fazal Din Phajja Siri Paye - Since 1953	Restaurant	Lahore	https://maps.app.goo.gl/XKK79PvbQR4kCUQF7	Moderate	FullDay
phaja Siri paye near Arif chatkara	Restaurant	Lahore	https://maps.app.goo.gl/x1poGJbS4LZxLmJz9	Moderate	FullDay
Waris Nihari	Restaurant	Lahore	https://maps.app.goo.gl/fdqb6X7gyK2WzGYRA	Moderate	FullDay
Taj Puri Halwa	Restaurant	Lahore	https://maps.app.goo.gl/J1BasYefyuzGLhzW9	Low	Breakfast
Sadiq Halwa Puri  near wapda town,	Restaurant	Lahore	https://maps.app.goo.gl/UWjpvHkP8wcyqD6g7	Low	Breakfast
Sadiq Halwa Puri In Front of Shama Metro Station	Restaurant	Lahore	https://maps.app.goo.gl/4KAWSCfiQ7vjpg8FA	Low	Breakfast
Sadiq Halwa Puri Sector Y DHA Phase 3	Restaurant	Lahore	https://maps.app.goo.gl/SxD1rMkifK8fNVcG7	Low	Breakfast
Garden Bundu Khan	Restaurant	Lahore	https://maps.app.goo.gl/igD8ahsRQAkTkEgK8	Moderate	FullDay
Eggspectations	Restaurant	Lahore	https://maps.app.goo.gl/6iEfJURGdVfVDqNWA	High	FullDay
Chaye Khana main boulevard Lake city downtown	Restaurant	Lahore	https://maps.app.goo.gl/bryfmdQwKGpJmwhT9	Moderate	FullDay
Chaaye Khana Iqbal Avenue Cooperative Housing Society - Phase I	Restaurant	Lahore	https://maps.app.goo.gl/VHQqvDzggjAHBhiR7	Moderate	FullDay
ChaayÃƒÂ© Khana 3rd Floor, Haly Tower, 301-R, DHA Phase 2	Restaurant	Lahore	https://maps.app.goo.gl/RgcuFZEc7ySLzCmD9	Moderate	FullDay
ChaayÃƒÂ© KhanaCommercial Market, Sector S Block A Askari X	Restaurant	Lahore	https://maps.app.goo.gl/xkiNygvZT19dguyJ7	Moderate	FullDay
Sesame	Restaurant	Lahore	https://maps.app.goo.gl/XNnajjJ5bMy4LW646	Moderate	FullDay
SECOND BOWL - CHINESE CUISINE	Restaurant	Lahore	https://maps.app.goo.gl/Z9sJuPS8RQ5ry2uTA	Moderate	FullDay
Jade Cafe & China Town	Restaurant	Lahore	https://maps.app.goo.gl/WUitkAi5eGjWZQxF7	Moderate	FullDay
Veera 5 Thai and Chinese Restaurant DHA	Restaurant	Lahore	https://maps.app.goo.gl/rPtE5gKDmarX77aq6	High	FullDay
Asian Wok Raya Lahore	Restaurant	Lahore	https://maps.app.goo.gl/5bgVxnWDznd3iZVA7	High	FullDay
Haveli Restaurant	Restaurant	Lahore	https://maps.app.goo.gl/Zc9Jx1V3W5oACmMK9	High	FullDay
Spice Bazaar	Restaurant	Lahore	https://maps.app.goo.gl/AyLYX9sHLeoUerbs7	High	FullDay
Cooco's Den	Restaurant	Lahore	https://maps.app.goo.gl/kn4RrnYQgpSuYpRV8	High	FullDay
Butt Karahi	Restaurant	Lahore	https://maps.app.goo.gl/bazPVtPBHRbYsxCr9	Moderate	FullDay
Muhammadi Nehari House	Restaurant	Lahore	https://maps.app.goo.gl/4TWxJfZ3YoA2qKSW6	Moderate	FullDay
Andaaz Restaurant	Restaurant	Lahore	https://maps.app.goo.gl/h3zLu1LJuq7d9A117	High	FullDay
Salt n Pepper Restaurant	Restaurant	Lahore	https://maps.app.goo.gl/Ezbdd8Z1jtmr8dGA6	High	FullDay
Bundu Khan	Restaurant	Lahore	https://maps.app.goo.gl/MSEA7Fzwg6Dh5QFq7	Moderate	FullDay
Heights n Delights A Rooftop Restaurant	Restaurant	Lahore	https://maps.app.goo.gl/jrb2yCCptmfhKhyR7	High	FullDay
Pablo's	Restaurant	Lahore	https://maps.app.goo.gl/jrb2yCCptmfhKhyR7	Moderate	FullDay
Fujiyama	Restaurant	Lahore	https://maps.app.goo.gl/QWqSuugxU19uiWFK7	High	FullDay
Dynasty	Restaurant	Lahore	https://maps.app.goo.gl/KDdRdDFQgJjC1bPM9	High	MainMeals
Kim's	Restaurant	Lahore	https://maps.app.goo.gl/aGfPcm7kkBDm4HB27	High	MainMeals
Qabail Tribes	Restaurant	Lahore	https://maps.app.goo.gl/Q11pfgFEBL4e87h46	Moderate	FullDay
Village	Restaurant	Lahore	https://maps.app.goo.gl/ndKu9pWBW6F523L47	High	MainMeals
Cosa Nostra	Restaurant	Lahore	https://maps.app.goo.gl/xPdPVeJDTB6jRAUK7	High	MainMeals
